Время	Гармоника_1	Гармоника_2	Гармоника_3	
0.0181	-0.263093	-0.593563	0.0782172	
0.0182	-0.239233	-0.597896	0.154508	
0.0183	-0.215136	-0.599868	0.226995	
0.0184	-0.190827	-0.599474	0.293893	
0.0185	-0.166329	-0.596713	0.353553	
0.0186	-0.141668	-0.591598	0.404508	
0.0187	-0.116866	-0.584147	0.445503	
0.0188	-0.0919497	-0.574392	0.475528	
0.0189	-0.0669423	-0.562369	0.493844	
0.019	-0.0418688	-0.548127	0.5	
0.0191	-0.0167539	-0.531722	0.493844	
0.0192	0.00837743	-0.513219	0.475528	
0.0193	0.0335005	-0.49269	0.445503	
0.0194	0.0585906	-0.470216	0.404508	
0.0195	0.0836228	-0.445887	0.353553	
0.0196	0.108572	-0.419798	0.293893	
0.0197	0.133415	-0.392052	0.226995	
0.0198	0.158126	-0.362759	0.154508	
0.0199	0.182681	-0.332035	0.0782172	
0.02	0.207055	-0.3	2.44991e-15	
0.0201	0.231225	-0.266781	-0.0782172	
0.0202	0.255167	-0.232509	-0.154508	
0.0203	0.278858	-0.19732	-0.226995	
0.0204	0.302273	-0.161352	-0.293893	
0.0205	0.325389	-0.124747	-0.353553	
0.0206	0.348185	-0.0876498	-0.404508	
0.0207	0.370637	-0.0502067	-0.445503	
0.0208	0.392723	-0.0125655	-0.475528	
0.0209	0.414422	0.0251254	-0.493844	
0.021	0.435711	0.0627171	-0.5	
0.0211	0.456571	0.100061	-0.493844	
0.0212	0.47698	0.137011	-0.475528	
0.0213	0.496918	0.173419	-0.445503	
0.0214	0.516366	0.209143	-0.404508	
0.0215	0.535304	0.244042	-0.353553	
0.0216	0.553715	0.277978	-0.293893	
0.0217	0.571578	0.310816	-0.226995	
0.0218	0.588878	0.342428	-0.154508	
0.0219	0.605596	0.372689	-0.0782172	
0.022	0.621717	0.401478	-7.34788e-16	
0.0221	0.637224	0.428684	0.0782172	
0.0222	0.652102	0.454197	0.154508	
0.0223	0.666337	0.477918	0.226995	
0.0224	0.679914	0.499753	0.293893	
0.0225	0.69282	0.519615	0.353553	
0.0226	0.705043	0.537427	0.404508	
0.0227	0.716569	0.553118	0.445503	
0.0228	0.727389	0.566626	0.475528	
0.0229	0.737491	0.577898	0.493844	
0.023	0.746864	0.586889	0.5	
0.0231	0.755501	0.593563	0.493844	
0.0232	0.763392	0.597896	0.475528	
0.0233	0.77053	0.599868	0.445503	
0.0234	0.776907	0.599474	0.404508	
0.0235	0.782518	0.596713	0.353553	
0.0236	0.787356	0.591598	0.293893	
0.0237	0.791418	0.584147	0.226995	
0.0238	0.794698	0.574392	0.154508	
0.0239	0.797194	0.562369	0.0782172	
0.024	0.798904	0.548127	2.57238e-15	
0.0241	0.799825	0.531722	-0.0782172	
0.0242	0.799956	0.513219	-0.154508	
0.0243	0.799298	0.49269	-0.226995	
0.0244	0.797852	0.470216	-0.293893	
0.0245	0.795618	0.445887	-0.353553	
0.0246	0.792598	0.419798	-0.404508	
0.0247	0.788797	0.392052	-0.445503	
0.0248	0.784217	0.362759	-0.475528	
0.0249	0.778863	0.332035	-0.493844	
0.025	0.772741	0.3	-0.5	
0.0251	0.765856	0.266781	-0.493844	
0.0252	0.758215	0.232509	-0.475528	
0.0253	0.749826	0.19732	-0.445503	
0.0254	0.740696	0.161352	-0.404508	
0.0255	0.730836	0.124747	-0.353553	
0.0256	0.720255	0.0876498	-0.293893	
0.0257	0.708963	0.0502067	-0.226995	
0.0258	0.696971	0.0125655	-0.154508	
0.0259	0.684291	-0.0251254	-0.0782172	
0.026	0.670936	-0.0627171	-8.57253e-16	
0.0261	0.656919	-0.100061	0.0782172	
0.0262	0.642254	-0.137011	0.154508	
0.0263	0.626955	-0.173419	0.226995	
0.0264	0.611037	-0.209143	0.293893	
0.0265	0.594516	-0.244042	0.353553	
0.0266	0.577408	-0.277978	0.404508	
0.0267	0.559731	-0.310816	0.445503	
0.0268	0.541501	-0.342428	0.475528	
0.0269	0.522736	-0.372689	0.493844	
0.027	0.503456	-0.401478	0.5	
0.0271	0.483679	-0.428684	0.493844	
0.0272	0.463425	-0.454197	0.475528	
0.0273	0.442713	-0.477918	0.445503	
0.0274	0.421565	-0.499753	0.404508	
0.0275	0.4	-0.519615	0.353553	
0.0276	0.378041	-0.537427	0.293893	
0.0277	0.355708	-0.553118	0.226995	
0.0278	0.333025	-0.566626	0.154508	
0.0279	0.310012	-0.577898	0.0782172	
0.028	0.286694	-0.586889	2.69484e-15	
0.0281	0.263093	-0.593563	-0.0782172	
0.0282	0.239233	-0.597896	-0.154508	
0.0283	0.215136	-0.599868	-0.226995	
0.0284	0.190827	-0.599474	-0.293893	
0.0285	0.166329	-0.596713	-0.353553	
0.0286	0.141668	-0.591598	-0.404508	
0.0287	0.116866	-0.584147	-0.445503	
0.0288	0.0919497	-0.574392	-0.475528	
0.0289	0.0669423	-0.562369	-0.493844	
0.029	0.0418688	-0.548127	-0.5	
0.0291	0.0167539	-0.531722	-0.493844	
0.0292	-0.00837743	-0.513219	-0.475528	
0.0293	-0.0335005	-0.49269	-0.445503	
0.0294	-0.0585906	-0.470216	-0.404508	
0.0295	-0.0836228	-0.445887	-0.353553	
0.0296	-0.108572	-0.419798	-0.293893	
0.0297	-0.133415	-0.392052	-0.226995	
0.0298	-0.158126	-0.362759	-0.154508	
0.0299	-0.182681	-0.332035	-0.0782172	
0.03	-0.207055	-0.3	-9.79717e-16	
0.0301	-0.231225	-0.266781	0.0782172	
0.0302	-0.255167	-0.232509	0.154508	
0.0303	-0.278858	-0.19732	0.226995	
0.0304	-0.302273	-0.161352	0.293893	
0.0305	-0.325389	-0.124747	0.353553	
0.0306	-0.348185	-0.0876498	0.404508	
0.0307	-0.370637	-0.0502067	0.445503	
0.0308	-0.392723	-0.0125655	0.475528	
0.0309	-0.414422	0.0251254	0.493844	
0.031	-0.435711	0.0627171	0.5	
0.0311	-0.456571	0.100061	0.493844	
0.0312	-0.47698	0.137011	0.475528	
0.0313	-0.496918	0.173419	0.445503	
0.0314	-0.516366	0.209143	0.404508	
0.0315	-0.535304	0.244042	0.353553	
0.0316	-0.553715	0.277978	0.293893	
0.0317	-0.571578	0.310816	0.226995	
0.0318	-0.588878	0.342428	0.154508	
0.0319	-0.605596	0.372689	0.0782172	
0.032	-0.621717	0.401478	2.81731e-15	
0.0321	-0.637224	0.428684	-0.0782172	
0.0322	-0.652102	0.454197	-0.154508	
0.0323	-0.666337	0.477918	-0.226995	
0.0324	-0.679914	0.499753	-0.293893	
0.0325	-0.69282	0.519615	-0.353553	
0.0326	-0.705043	0.537427	-0.404508	
0.0327	-0.716569	0.553118	-0.445503	
0.0328	-0.727389	0.566626	-0.475528	
0.0329	-0.737491	0.577898	-0.493844	
0.033	-0.746864	0.586889	-0.5	
0.0331	-0.755501	0.593563	-0.493844	
0.0332	-0.763392	0.597896	-0.475528	
0.0333	-0.77053	0.599868	-0.445503	
0.0334	-0.776907	0.599474	-0.404508	
0.0335	-0.782518	0.596713	-0.353553	
0.0336	-0.787356	0.591598	-0.293893	
0.0337	-0.791418	0.584147	-0.226995	
0.0338	-0.794698	0.574392	-0.154508	
0.0339	-0.797194	0.562369	-0.0782172	
0.034	-0.798904	0.548127	-1.10218e-15	
0.0341	-0.799825	0.531722	0.0782172	
0.0342	-0.799956	0.513219	0.154508	
0.0343	-0.799298	0.49269	0.226995	
0.0344	-0.797852	0.470216	0.293893	
0.0345	-0.795618	0.445887	0.353553	
0.0346	-0.792598	0.419798	0.404508	
0.0347	-0.788797	0.392052	0.445503	
0.0348	-0.784217	0.362759	0.475528	
0.0349	-0.778863	0.332035	0.493844	
0.035	-0.772741	0.3	0.5	
0.0351	-0.765856	0.266781	0.493844	
0.0352	-0.758215	0.232509	0.475528	
0.0353	-0.749826	0.19732	0.445503	
0.0354	-0.740696	0.161352	0.404508	
0.0355	-0.730836	0.124747	0.353553	
0.0356	-0.720255	0.0876498	0.293893	
0.0357	-0.708963	0.0502067	0.226995	
0.0358	-0.696971	0.0125655	0.154508	
0.0359	-0.684291	-0.0251254	0.0782172	
0.036	-0.670936	-0.0627171	2.93977e-15	
0.0361	-0.656919	-0.100061	-0.0782172	
0.0362	-0.642254	-0.137011	-0.154508	
0.0363	-0.626955	-0.173419	-0.226995	
0.0364	-0.611037	-0.209143	-0.293893	
0.0365	-0.594516	-0.244042	-0.353553	
0.0366	-0.577408	-0.277978	-0.404508	
0.0367	-0.559731	-0.310816	-0.445503	
0.0368	-0.541501	-0.342428	-0.475528	
0.0369	-0.522736	-0.372689	-0.493844	
0.037	-0.503456	-0.401478	-0.5	
0.0371	-0.483679	-0.428684	-0.493844	
0.0372	-0.463425	-0.454197	-0.475528	
0.0373	-0.442713	-0.477918	-0.445503	
0.0374	-0.421565	-0.499753	-0.404508	
0.0375	-0.4	-0.519615	-0.353553	
0.0376	-0.378041	-0.537427	-0.293893	
0.0377	-0.355708	-0.553118	-0.226995	
0.0378	-0.333025	-0.566626	-0.154508	
0.0379	-0.310012	-0.577898	-0.0782172	
0.038	-0.286694	-0.586889	-4.77736e-15	
0.0381	-0.263093	-0.593563	0.0782172	
0.0382	-0.239233	-0.597896	0.154508	
0.0383	-0.215136	-0.599868	0.226995	
0.0384	-0.190827	-0.599474	0.293893	
0.0385	-0.166329	-0.596713	0.353553	
0.0386	-0.141668	-0.591598	0.404508	
0.0387	-0.116866	-0.584147	0.445503	
0.0388	-0.0919497	-0.574392	0.475528	
0.0389	-0.0669423	-0.562369	0.493844	
0.039	-0.0418688	-0.548127	0.5	
0.0391	-0.0167539	-0.531722	0.493844	
0.0392	0.00837743	-0.513219	0.475528	
0.0393	0.0335005	-0.49269	0.445503	
0.0394	0.0585906	-0.470216	0.404508	
0.0395	0.0836228	-0.445887	0.353553	
0.0396	0.108572	-0.419798	0.293893	
0.0397	0.133415	-0.392052	0.226995	
0.0398	0.158126	-0.362759	0.154508	
0.0399	0.182681	-0.332035	0.0782172	
0.04	0.207055	-0.3	6.61495e-15	
0.0401	0.231225	-0.266781	-0.0782172	
0.0402	0.255167	-0.232509	-0.154508	
0.0403	0.278858	-0.19732	-0.226995	
0.0404	0.302273	-0.161352	-0.293893	
0.0405	0.325389	-0.124747	-0.353553	
0.0406	0.348185	-0.0876498	-0.404508	
0.0407	0.370637	-0.0502067	-0.445503	
0.0408	0.392723	-0.0125655	-0.475528	
0.0409	0.414422	0.0251254	-0.493844	
0.041	0.435711	0.0627171	-0.5	
0.0411	0.456571	0.100061	-0.493844	
0.0412	0.47698	0.137011	-0.475528	
0.0413	0.496918	0.173419	-0.445503	
0.0414	0.516366	0.209143	-0.404508	
0.0415	0.535304	0.244042	-0.353553	
0.0416	0.553715	0.277978	-0.293893	
0.0417	0.571578	0.310816	-0.226995	
0.0418	0.588878	0.342428	-0.154508	
0.0419	0.605596	0.372689	-0.0782172	
0.042	0.621717	0.401478	-4.89983e-15	
0.0421	0.637224	0.428684	0.0782172	
0.0422	0.652102	0.454197	0.154508	
0.0423	0.666337	0.477918	0.226995	
0.0424	0.679914	0.499753	0.293893	
0.0425	0.69282	0.519615	0.353553	
0.0426	0.705043	0.537427	0.404508	
0.0427	0.716569	0.553118	0.445503	
0.0428	0.727389	0.566626	0.475528	
0.0429	0.737491	0.577898	0.493844	
0.043	0.746864	0.586889	0.5	
0.0431	0.755501	0.593563	0.493844	
0.0432	0.763392	0.597896	0.475528	
0.0433	0.77053	0.599868	0.445503	
0.0434	0.776907	0.599474	0.404508	
0.0435	0.782518	0.596713	0.353553	
0.0436	0.787356	0.591598	0.293893	
0.0437	0.791418	0.584147	0.226995	
0.0438	0.794698	0.574392	0.154508	
0.0439	0.797194	0.562369	0.0782172	
0.044	0.798904	0.548127	3.1847e-15	
0.0441	0.799825	0.531722	-0.0782172	
0.0442	0.799956	0.513219	-0.154508	
0.0443	0.799298	0.49269	-0.226995	
0.0444	0.797852	0.470216	-0.293893	
0.0445	0.795618	0.445887	-0.353553	
0.0446	0.792598	0.419798	-0.404508	
0.0447	0.788797	0.392052	-0.445503	
0.0448	0.784217	0.362759	-0.475528	
0.0449	0.778863	0.332035	-0.493844	
0.045	0.772741	0.3	-0.5	
0.0451	0.765856	0.266781	-0.493844	
0.0452	0.758215	0.232509	-0.475528	
0.0453	0.749826	0.19732	-0.445503	
0.0454	0.740696	0.161352	-0.404508	
0.0455	0.730836	0.124747	-0.353553	
0.0456	0.720255	0.0876498	-0.293893	
0.0457	0.708963	0.0502067	-0.226995	
0.0458	0.696971	0.0125655	-0.154508	
0.0459	0.684291	-0.0251254	-0.0782172	
0.046	0.670936	-0.0627171	-8.575e-15	
0.0461	0.656919	-0.100061	0.0782172	
0.0462	0.642254	-0.137011	0.154508	
